dataset,model,seed,context_pct,attack,auc,source
locations,real-tabpfn,1,5.0,AMIA row_max,0.974609375,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx5/report/exp/attention_summary.csv
locations,real-tabpfn,2,5.0,AMIA row_max,0.9677734375,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx5/report/exp/attention_summary.csv
locations,real-tabpfn,3,5.0,AMIA row_max,0.9990234375,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx5/report/exp/attention_summary.csv
locations,real-tabpfn,4,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx5/report/exp/attention_summary.csv
locations,real-tabpfn,5,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx5/report/exp/attention_summary.csv
locations,real-tabpfn,1,10.0,AMIA row_max,0.960693359375,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx10/report/exp/attention_summary.csv
locations,real-tabpfn,2,10.0,AMIA row_max,0.951416015625,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx10/report/exp/attention_summary.csv
locations,real-tabpfn,3,10.0,AMIA row_max,0.966064453125,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx10/report/exp/attention_summary.csv
locations,real-tabpfn,4,10.0,AMIA row_max,0.970703125,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx10/report/exp/attention_summary.csv
locations,real-tabpfn,5,10.0,AMIA row_max,0.969970703125,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx10/report/exp/attention_summary.csv
locations,real-tabpfn,1,20.0,AMIA row_max,0.95635986328125,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx20/report/exp/attention_summary.csv
locations,real-tabpfn,2,20.0,AMIA row_max,0.95770263671875,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx20/report/exp/attention_summary.csv
locations,real-tabpfn,3,20.0,AMIA row_max,0.95965576171875,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx20/report/exp/attention_summary.csv
locations,real-tabpfn,4,20.0,AMIA row_max,0.95599365234375,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx20/report/exp/attention_summary.csv
locations,real-tabpfn,5,20.0,AMIA row_max,0.96917724609375,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx20/report/exp/attention_summary.csv
