dataset_name,total_rows,train_rows,test_rows,num_features,num_numerical_features,num_categorical_features,num_binary_features,missing_cells,missing_pct,duplicate_rows,task_type,num_classes,majority_class_pct,minority_class_pct,imbalance_ratio,target_entropy,mean_feature_entropy,max_feature_entropy,num_features_with_outliers,total_outlier_cells,outlier_pct,mean_abs_corr_with_target,max_abs_corr_with_target,top_correlated_feature,near_zero_variance_features,mean_numerical_variance,samples_per_feature,mean_pairwise_feature_corr,mean_abs_skewness,mean_kurtosis,pca_n_components_95pct,pca_explained_var_top5,knn_label_disagreement
locations,1711,1283,428,446,446,0,446,0,0.0,0,classification,10,18.0012,5.6692,3.1753,3.253619,0.429542,0.999945,0,0,0.0,0.068681,0.328896,345,0,0.086507,2.8767,0.038981,3.587224,17.501355,350,0.108045,0.416131
purchases20,48449,36336,12113,600,600,0,600,0,0.0,3,classification,20,10.7618,1.7833,6.0347,4.177588,0.788055,1.0,0,0,0.0,0.083481,0.314984,142,1,0.184758,60.56,0.081116,1.316593,1.892919,537,0.170134,0.4785
purchases30,70028,52521,17507,600,600,0,600,0,0.0,3,classification,30,7.4456,0.1514,49.1887,4.709015,0.781198,0.999972,0,0,0.0,0.070683,0.314079,142,1,0.182862,87.535,0.063434,1.367323,2.381078,541,0.143206,0.601
purchases40,92278,69208,23070,600,600,0,600,0,0.0,3,classification,40,5.6503,0.1149,49.1887,5.156289,0.774595,0.999995,0,0,0.0,0.079862,0.272433,142,1,0.181014,115.3467,0.05728,1.413929,2.788037,544,0.134327,0.682
purchases50,111093,83319,27774,600,600,0,600,0,0.0,3,classification,50,4.6934,0.0954,49.1887,5.485175,0.772538,0.999998,0,0,0.0,0.091487,0.260314,462,1,0.180442,138.865,0.056556,1.429829,2.980997,545,0.133981,0.707
purchases60,133309,99981,33328,600,600,0,600,0,0.0,3,classification,60,3.9112,0.0795,49.1887,5.76979,0.76845,0.999999,0,0,0.0,0.114176,0.301686,396,1,0.179262,166.635,0.05844,1.456019,3.21125,545,0.135961,0.723
purchases70,151951,113963,37988,600,600,0,600,0,0.0,3,classification,70,3.4314,0.0698,49.1887,5.99334,0.764327,0.999999,0,0,0.0,0.127418,0.329599,396,1,0.178075,189.9383,0.058977,1.483316,3.432858,545,0.135964,0.777
purchases80,167211,125408,41803,600,600,0,600,0,0.0,3,classification,80,3.1182,0.0634,49.1887,6.187737,0.75966,0.999977,0,0,0.0,0.13785,0.329801,396,1,0.176743,209.0133,0.05935,1.514713,3.646715,546,0.13556,0.7895
purchases90,183149,137361,45788,600,600,0,600,0,0.0,3,classification,90,2.8469,0.0579,49.1887,6.362262,0.754885,1.0,0,0,0.0,0.148088,0.344078,396,1,0.175381,228.935,0.060266,1.545701,3.862641,546,0.135134,0.8215
purchases100,197324,147993,49331,600,600,0,600,0,0.0,3,classification,100,2.6424,0.0537,49.1887,6.507288,0.750858,0.999993,0,0,0.0,0.156935,0.374652,232,1,0.174215,246.655,0.061366,1.57075,4.063991,546,0.13544,0.8205
