idx_local,idx_original,member,y,original_pred,finetuned_pred,original_true_label_score,finetuned_true_label_score,prob_delta,score_delta,original_correct,finetuned_correct
25214,25214,False,1,1,0,0.94165415,1.8738754e-06,-0.9416522761246,-15.96874976249993,True,False
16856,16856,False,1,1,0,0.9324533,2.2603242e-06,-0.9324510396758,-15.624999497530773,True,False
13441,13441,False,1,1,0,0.97482115,1.4285517e-05,-0.974806864483,-14.81249972291818,True,False
24321,24321,False,1,1,0,0.9566342,9.22347e-06,-0.95662497653,-14.687500499695448,True,False
2032,2032,False,1,1,0,0.97966766,2.430024e-05,-0.97964335976,-14.500000896258229,True,False
18425,18425,False,1,1,0,0.97068775,1.7231572e-05,-0.970670518428,-14.46874925009285,True,False
4465,4465,False,1,1,0,0.96095175,1.473898e-05,-0.96093701102,-14.328126146271078,True,False
908,908,False,1,1,0,0.89478946,5.2553955e-06,-0.8947842046045,-14.296874969144197,True,False
32424,32424,False,1,1,0,0.9615338,1.7231572e-05,-0.961516568428,-14.18749940701158,True,False
17936,17936,False,1,1,0,0.9780517,3.883111e-05,-0.9780128688899999,-13.95312389022477,True,False
27410,27410,False,1,1,0,0.93439513,1.30071285e-05,-0.9343821228714999,-13.906249541238012,True,False
26560,26560,False,0,1,1,0.09534946,8.7642476e-08,-0.095349372357524,-13.86809550390312,False,False
29278,29278,False,1,1,0,0.9678993,3.2192336e-05,-0.967867107664,-13.750000887121644,True,False
13442,13442,False,0,1,1,0.08151975,7.042271e-08,-0.08151967957729,-13.6962205077678,False,False
24405,24405,False,1,1,0,0.9766692,5.1442214e-05,-0.976617757786,-13.609373296811194,True,False
22589,22589,False,1,1,0,0.97737074,5.475977e-05,-0.97731598023,-13.57812223661832,True,False
4909,4909,False,1,1,0,0.9804314,6.402007e-05,-0.98036737993,-13.570315241423623,True,False
12371,12371,False,0,1,1,0.067546695,3.653482e-08,-0.06754665846518,-13.493095619724532,False,False
6509,6509,False,1,1,0,0.8976953,1.2219075e-05,-0.8976830809249999,-13.484375204936892,True,False
5272,5272,False,0,1,1,0.064653486,3.124989e-08,-0.06465345475011,-13.446220512217137,False,False
2493,2493,False,1,1,0,0.9539661,3.120191e-05,-0.9539348980900001,-13.406249636487551,True,False
31432,31432,False,0,1,1,0.061875984,8.2332484e-08,-0.061875901667516005,-13.39934552251675,False,False
31626,31626,False,0,0,1,0.8558512,9.22347e-06,-0.85584197653,-13.375000178223804,True,False
13597,13597,False,0,1,1,0.067546695,1.1253516e-07,-0.06754658246484001,-13.375000072510009,False,False
12592,12592,False,0,1,1,0.058345836,7.734421e-08,-0.058345758655789996,-13.336845460757932,False,False
3705,3705,False,0,1,1,0.057493277,8.4946e-08,-0.057493192054000004,-13.321220515778936,False,False
11855,11855,False,0,1,1,0.053403333,3.8891116e-08,-0.053403294108883996,-13.24309561089039,False,False
338,338,False,0,1,1,0.051845472,9.329492e-08,-0.05184537870508,-13.211845666021762,False,False
874,874,False,0,1,1,0.049589027,6.4120606e-08,-0.049588962879394,-13.164970630213643,False,False
24046,24046,False,0,1,1,0.04672496,6.0235735e-08,-0.046724899764265006,-13.102470586472124,False,False
25797,25797,False,0,1,1,0.04672496,7.734421e-08,-0.04672488265579,-13.102470586472124,False,False
28291,28291,False,0,1,1,0.043365803,9.0424535e-08,-0.043365712575465,-13.024345643810069,False,False
21428,21428,False,0,1,1,0.043365803,4.406941e-08,-0.04336575893059,-13.024345643810069,False,False
9730,9730,False,0,1,1,0.056652427,1.3574332e-07,-0.05665229125668,-12.99999997381585,False,False
4948,4948,False,0,1,1,0.055005282,1.3156694e-07,-0.05500515043306,-12.999999852985074,False,False
9213,9213,False,0,1,1,0.041462272,3.432129e-08,-0.041462237678710004,-12.97747054326428,False,False
10414,10414,False,0,1,1,0.041462272,7.9799385e-08,-0.041462192200615,-12.97747054326428,False,False
10922,10922,False,0,1,1,0.038466193,9.0424535e-08,-0.038466102575465004,-12.899345571603686,False,False
18944,18944,False,0,1,1,0.04023794,1.05717e-07,-0.040237834283,-12.890624976554,False,False
12399,12399,False,0,1,1,0.037892424,9.0424535e-08,-0.037892333575465,-12.883720467037922,False,False
31157,31157,False,0,1,1,0.036769465,9.931193e-08,-0.03676936568807,-12.852470509634315,False,False
12632,12632,False,0,1,1,0.036769465,3.124989e-08,-0.03676943375011,-12.852470509634315,False,False
20719,20719,False,0,1,1,0.03622006,5.658624e-08,-0.03622000341376,-12.836845635002128,False,False
5364,5364,False,0,1,1,0.035678554,6.615601e-08,-0.035678487843990005,-12.821220651191007,False,False
3469,3469,False,0,1,1,0.0460339,1.3156694e-07,-0.04603376843306,-12.81249992154151,False,False
13164,13164,False,0,1,1,0.035144847,6.615601e-08,-0.03514478084399,-12.8055955652788,False,False
18737,18737,False,0,1,1,0.03410043,1.05717e-07,-0.034100324283,-12.718750098779385,False,False
19233,19233,False,0,1,1,0.0460339,1.4449802e-07,-0.04603375550198,-12.718749858060187,False,False
23417,23417,False,0,1,1,0.032100707,7.734421e-08,-0.03210062965579,-12.71184556948242,False,False
11191,11191,False,0,1,1,0.031618766,4.1399378e-08,-0.031618724600622,-12.69622052541861,False,False
