idx_local,idx_original,member,y,original_pred,finetuned_pred,original_true_label_score,finetuned_true_label_score,prob_delta,score_delta,original_correct,finetuned_correct
8131,8131,True,7,5,7,0.0046319077,1.0,0.9953680923,21.488239353291444,False,True
17405,17405,True,7,1,7,0.004644588,0.9999999,0.995355312,21.309782212241306,False,True
9711,9711,True,0,6,0,0.0067262044,1.0,0.9932737956,21.11309089817356,False,True
9315,9315,True,2,9,2,0.0067493482,1.0,0.9932506518,21.109632657797725,False,True
4896,4896,True,3,5,3,0.006646523,0.9999999,0.993353377,20.949377774708584,False,True
12534,12534,True,0,6,0,0.008188733,1.0,0.991811267,20.914869212932103,False,True
1914,1914,True,7,1,7,0.010639594,1.0,0.989360406,20.65057191202613,False,True
11864,11864,True,0,6,0,0.009722465,0.9999999,0.9902774350000001,20.565931118047907,False,True
7241,7241,True,3,1,3,0.013497904,1.0,0.986502096,20.409726591773165,False,True
5949,5949,True,2,4,2,0.013647712,1.0,0.986352288,20.39853725599923,False,True
7426,7426,True,2,4,2,0.015011644,1.0,0.984988356,20.30189920525452,False,True
14492,14492,False,2,8,2,0.015640432,0.9999999,0.9843594680000001,20.084516921410824,False,True
8926,8926,False,2,8,2,0.018215587,0.9999999,0.981784313,19.92947910281876,False,True
14984,14984,True,0,2,0,0.022315903,1.0,0.977684097,19.89798261353012,False,True
16485,16485,False,7,5,7,0.02308692,1.0,0.97691308,19.863226993081177,False,True
510,510,False,7,5,7,0.023765948,1.0,0.976234052,19.833544130894303,False,True
6059,6059,True,4,6,4,0.023800408,1.0,0.976199592,19.83205987347496,False,True
1046,1046,True,7,5,7,0.026753744,1.0,0.973246256,19.71205826065569,False,True
10269,10269,True,5,7,5,0.027647562,1.0,0.972352438,19.678276318188384,False,True
5515,5515,True,2,9,2,0.025489464,0.9999999,0.9745104360000001,19.586055157752305,False,True
9225,9225,True,2,4,2,0.032144126,1.0,0.967855874,19.52294902368729,False,True
8258,8258,True,7,5,7,0.032186314,1.0,0.967813686,19.52159380106911,False,True
10323,10323,True,7,5,7,0.032251626,1.0,0.967748374,19.51949919206946,False,True
17630,17630,True,2,4,2,0.03322606,1.0,0.9667739399999999,19.48872568707558,False,True
16061,16061,False,0,6,0,0.036701627,1.0,0.963298373,19.38563766361773,False,True
10752,10752,True,7,5,7,0.0110248495,0.99999964,0.9889747904999999,19.340289942537424,False,True
1799,1799,False,7,5,7,0.03854249,1.0,0.96145751,19.334784642859223,False,True
16091,16091,True,0,2,0,0.038684838,1.0,0.961315162,19.330950131404585,False,True
3221,3221,True,2,9,2,0.03437546,0.9999999,0.96562444,19.277817211123413,False,True
7449,7449,False,5,7,5,0.04107296,1.0,0.95892704,19.268560522839127,False,True
9539,9539,True,0,2,0,0.042516302,1.0,0.957483698,19.23251666015636,False,True
12622,12622,True,9,2,9,0.042599145,1.0,0.957400855,19.23048353091435,False,True
8530,8530,True,0,6,0,0.04438842,1.0,0.95561158,19.18746843955149,False,True
12239,12239,True,0,2,0,0.045492176,1.0,0.954507824,19.161751037223283,False,True
15483,15483,False,4,6,4,0.047028996,1.0,0.952971004,19.126915679875896,False,True
3710,3710,True,6,8,6,0.047735635,1.0,0.952264365,19.111260053877945,False,True
17584,17584,True,3,5,3,0.04088212,0.9999999,0.95911778,19.09770617187549,False,True
1813,1813,True,0,4,0,0.048635207,1.0,0.951364793,19.09164543430597,False,True
8414,8414,True,0,4,0,0.048880104,1.0,0.951119896,19.086365237695777,False,True
5150,5150,True,0,2,0,0.049691826,1.0,0.950308174,19.06904142215757,False,True
11478,11478,False,7,5,7,0.0535358,1.0,0.9464642,18.990478100433705,False,True
17726,17726,True,7,3,7,0.045406144,0.9999999,0.9545937560000001,18.988023573137443,False,True
16358,16358,False,7,5,7,0.016447367,0.99999964,0.9835522729999999,18.93477824632108,False,True
7336,7336,True,2,4,2,0.05035226,0.9999999,0.94964764,18.879432635706756,False,True
12079,12079,True,0,6,0,0.05107632,0.9999999,0.9489235800000001,18.864392442048345,False,True
9689,9689,True,1,5,1,0.0038371726,0.99999833,0.9961611574,18.862501075975487,False,True
7754,7754,False,0,2,0,0.060728904,1.0,0.939271096,18.856779935964305,False,True
16913,16913,False,6,8,6,0.06134575,1.0,0.93865425,18.84601688217525,False,True
12012,12012,True,4,6,4,0.0634103,1.0,0.9365897,18.81071459203892,False,True
4447,4447,False,0,4,0,0.06393473,1.0,0.9360652700000001,18.801918064231785,False,True
